DateTime,Wind,Solar
01.01.2021 00:00 - 01.01.2021 00:15 (CET/CEST),4213,1
01.01.2021 00:15 - 01.01.2021 00:30 (CET/CEST),4072,1
01.01.2021 00:30 - 01.01.2021 00:45 (CET/CEST),3793,1
01.01.2021 00:45 - 01.01.2021 01:00 (CET/CEST),3669,1
01.01.2021 01:00 - 01.01.2021 01:15 (CET/CEST),3686,1
01.01.2021 01:15 - 01.01.2021 01:30 (CET/CEST),3601,1
01.01.2021 01:30 - 01.01.2021 01:45 (CET/CEST),3479,1
01.01.2021 01:45 - 01.01.2021 02:00 (CET/CEST),3380,1
01.01.2021 02:00 - 01.01.2021 02:15 (CET/CEST),3311,1
01.01.2021 02:15 - 01.01.2021 02:30 (CET/CEST),3259,1
01.01.2021 02:30 - 01.01.2021 02:45 (CET/CEST),3186,1
01.01.2021 02:45 - 01.01.2021 03:00 (CET/CEST),3062,1
01.01.2021 03:00 - 01.01.2021 03:15 (CET/CEST),2972,1
01.01.2021 03:15 - 01.01.2021 03:30 (CET/CEST),2826,1
01.01.2021 03:30 - 01.01.2021 03:45 (CET/CEST),2690,1
01.01.2021 03:45 - 01.01.2021 04:00 (CET/CEST),2612,1
01.01.2021 04:00 - 01.01.2021 04:15 (CET/CEST),2575,1
01.01.2021 04:15 - 01.01.2021 04:30 (CET/CEST),2484,1
01.01.2021 04:30 - 01.01.2021 04:45 (CET/CEST),2434,1
01.01.2021 04:45 - 01.01.2021 05:00 (CET/CEST),2384,1
01.01.2021 05:00 - 01.01.2021 05:15 (CET/CEST),2279,1
01.01.2021 05:15 - 01.01.2021 05:30 (CET/CEST),2152,1
01.01.2021 05:30 - 01.01.2021 05:45 (CET/CEST),2085,1
01.01.2021 05:45 - 01.01.2021 06:00 (CET/CEST),1983,1
01.01.2021 06:00 - 01.01.2021 06:15 (CET/CEST),2024,1
01.01.2021 06:15 - 01.01.2021 06:30 (CET/CEST),2003,1
01.01.2021 06:30 - 01.01.2021 06:45 (CET/CEST),2039,1
01.01.2021 06:45 - 01.01.2021 07:00 (CET/CEST),1989,1
01.01.2021 07:00 - 01.01.2021 07:15 (CET/CEST),1913,1
01.01.2021 07:15 - 01.01.2021 07:30 (CET/CEST),1980,1
01.01.2021 07:30 - 01.01.2021 07:45 (CET/CEST),1994,1
01.01.2021 07:45 - 01.01.2021 08:00 (CET/CEST),1992,2
01.01.2021 08:00 - 01.01.2021 08:15 (CET/CEST),2022,23
01.01.2021 08:15 - 01.01.2021 08:30 (CET/CEST),2050,83
01.01.2021 08:30 - 01.01.2021 08:45 (CET/CEST),2111,211
01.01.2021 08:45 - 01.01.2021 09:00 (CET/CEST),2108,450
01.01.2021 09:00 - 01.01.2021 09:15 (CET/CEST),2166,763
01.01.2021 09:15 - 01.01.2021 09:30 (CET/CEST),2171,1112
01.01.2021 09:30 - 01.01.2021 09:45 (CET/CEST),2102,1529
01.01.2021 09:45 - 01.01.2021 10:00 (CET/CEST),2051,1937
01.01.2021 10:00 - 01.01.2021 10:15 (CET/CEST),2036,2358
01.01.2021 10:15 - 01.01.2021 10:30 (CET/CEST),1950,2750
01.01.2021 10:30 - 01.01.2021 10:45 (CET/CEST),1848,3153
01.01.2021 10:45 - 01.01.2021 11:00 (CET/CEST),1818,3497
01.01.2021 11:00 - 01.01.2021 11:15 (CET/CEST),1751,3825
01.01.2021 11:15 - 01.01.2021 11:30 (CET/CEST),1675,4122
01.01.2021 11:30 - 01.01.2021 11:45 (CET/CEST),1555,4372
01.01.2021 11:45 - 01.01.2021 12:00 (CET/CEST),1490,4544
01.01.2021 12:00 - 01.01.2021 12:15 (CET/CEST),1431,4755
01.01.2021 12:15 - 01.01.2021 12:30 (CET/CEST),1331,4832
01.01.2021 12:30 - 01.01.2021 12:45 (CET/CEST),1266,4785
01.01.2021 12:45 - 01.01.2021 13:00 (CET/CEST),1199,4677
01.01.2021 13:00 - 01.01.2021 13:15 (CET/CEST),1136,4489
01.01.2021 13:15 - 01.01.2021 13:30 (CET/CEST),1143,4308
01.01.2021 13:30 - 01.01.2021 13:45 (CET/CEST),1133,4074
01.01.2021 13:45 - 01.01.2021 14:00 (CET/CEST),1142,3740
01.01.2021 14:00 - 01.01.2021 14:15 (CET/CEST),1154,3311
01.01.2021 14:15 - 01.01.2021 14:30 (CET/CEST),1214,2883
01.01.2021 14:30 - 01.01.2021 14:45 (CET/CEST),1256,2441
01.01.2021 14:45 - 01.01.2021 15:00 (CET/CEST),1302,1993
01.01.2021 15:00 - 01.01.2021 15:15 (CET/CEST),1438,1540
01.01.2021 15:15 - 01.01.2021 15:30 (CET/CEST),1484,1081
01.01.2021 15:30 - 01.01.2021 15:45 (CET/CEST),1577,674
01.01.2021 15:45 - 01.01.2021 16:00 (CET/CEST),1696,346
01.01.2021 16:00 - 01.01.2021 16:15 (CET/CEST),1847,133
01.01.2021 16:15 - 01.01.2021 16:30 (CET/CEST),2023,32
01.01.2021 16:30 - 01.01.2021 16:45 (CET/CEST),2239,4
01.01.2021 16:45 - 01.01.2021 17:00 (CET/CEST),2436,1
01.01.2021 17:00 - 01.01.2021 17:15 (CET/CEST),2624,1
01.01.2021 17:15 - 01.01.2021 17:30 (CET/CEST),2818,1
01.01.2021 17:30 - 01.01.2021 17:45 (CET/CEST),3044,1
01.01.2021 17:45 - 01.01.2021 18:00 (CET/CEST),3185,1
01.01.2021 18:00 - 01.01.2021 18:15 (CET/CEST),3329,1
01.01.2021 18:15 - 01.01.2021 18:30 (CET/CEST),3543,1
01.01.2021 18:30 - 01.01.2021 18:45 (CET/CEST),3622,1
01.01.2021 18:45 - 01.01.2021 19:00 (CET/CEST),3700,1
01.01.2021 19:00 - 01.01.2021 19:15 (CET/CEST),3781,1
01.01.2021 19:15 - 01.01.2021 19:30 (CET/CEST),3850,1
01.01.2021 19:30 - 01.01.2021 19:45 (CET/CEST),3969,1
01.01.2021 19:45 - 01.01.2021 20:00 (CET/CEST),4049,1
01.01.2021 20:00 - 01.01.2021 20:15 (CET/CEST),4110,1
01.01.2021 20:15 - 01.01.2021 20:30 (CET/CEST),4133,1
01.01.2021 20:30 - 01.01.2021 20:45 (CET/CEST),4208,1
01.01.2021 20:45 - 01.01.2021 21:00 (CET/CEST),4266,1
01.01.2021 21:00 - 01.01.2021 21:15 (CET/CEST),4333,1
01.01.2021 21:15 - 01.01.2021 21:30 (CET/CEST),4382,1
01.01.2021 21:30 - 01.01.2021 21:45 (CET/CEST),4428,1
01.01.2021 21:45 - 01.01.2021 22:00 (CET/CEST),4399,1
01.01.2021 22:00 - 01.01.2021 22:15 (CET/CEST),4517,1
01.01.2021 22:15 - 01.01.2021 22:30 (CET/CEST),4665,1
01.01.2021 22:30 - 01.01.2021 22:45 (CET/CEST),4728,1
01.01.2021 22:45 - 01.01.2021 23:00 (CET/CEST),4725,1
01.01.2021 23:00 - 01.01.2021 23:15 (CET/CEST),4640,1
01.01.2021 23:15 - 01.01.2021 23:30 (CET/CEST),4566,1
01.01.2021 23:30 - 01.01.2021 23:45 (CET/CEST),4586,1
01.01.2021 23:45 - 02.01.2021 00:00 (CET/CEST),4614,1
02.01.2021 00:00 - 02.01.2021 00:15 (CET/CEST),4550,1
02.01.2021 00:15 - 02.01.2021 00:30 (CET/CEST),4491,1
02.01.2021 00:30 - 02.01.2021 00:45 (CET/CEST),4491,1
02.01.2021 00:45 - 02.01.2021 01:00 (CET/CEST),4478,1
02.01.2021 01:00 - 02.01.2021 01:15 (CET/CEST),4405,1
02.01.2021 01:15 - 02.01.2021 01:30 (CET/CEST),4349,1
02.01.2021 01:30 - 02.01.2021 01:45 (CET/CEST),4308,1
