DateTime,Wind,Solar
01.01.2024 00:00 - 01.01.2024 00:15 (CET/CEST),29951,3
01.01.2024 00:15 - 01.01.2024 00:30 (CET/CEST),29602,4
01.01.2024 00:30 - 01.01.2024 00:45 (CET/CEST),29608,3
01.01.2024 00:45 - 01.01.2024 01:00 (CET/CEST),29855,3
01.01.2024 01:00 - 01.01.2024 01:15 (CET/CEST),29875,3
01.01.2024 01:15 - 01.01.2024 01:30 (CET/CEST),29707,3
01.01.2024 01:30 - 01.01.2024 01:45 (CET/CEST),29463,3
01.01.2024 01:45 - 01.01.2024 02:00 (CET/CEST),29597,3
01.01.2024 02:00 - 01.01.2024 02:15 (CET/CEST),29668,3
01.01.2024 02:15 - 01.01.2024 02:30 (CET/CEST),29664,3
01.01.2024 02:30 - 01.01.2024 02:45 (CET/CEST),29812,3
01.01.2024 02:45 - 01.01.2024 03:00 (CET/CEST),29830,3
01.01.2024 03:00 - 01.01.2024 03:15 (CET/CEST),29544,3
01.01.2024 03:15 - 01.01.2024 03:30 (CET/CEST),29248,3
01.01.2024 03:30 - 01.01.2024 03:45 (CET/CEST),28986,4
01.01.2024 03:45 - 01.01.2024 04:00 (CET/CEST),29054,3
01.01.2024 04:00 - 01.01.2024 04:15 (CET/CEST),29048,3
01.01.2024 04:15 - 01.01.2024 04:30 (CET/CEST),29283,3
01.01.2024 04:30 - 01.01.2024 04:45 (CET/CEST),29217,3
01.01.2024 04:45 - 01.01.2024 05:00 (CET/CEST),29005,3
01.01.2024 05:00 - 01.01.2024 05:15 (CET/CEST),29186,3
01.01.2024 05:15 - 01.01.2024 05:30 (CET/CEST),29270,3
01.01.2024 05:30 - 01.01.2024 05:45 (CET/CEST),29374,3
01.01.2024 05:45 - 01.01.2024 06:00 (CET/CEST),29222,4
01.01.2024 06:00 - 01.01.2024 06:15 (CET/CEST),29426,3
01.01.2024 06:15 - 01.01.2024 06:30 (CET/CEST),29228,3
01.01.2024 06:30 - 01.01.2024 06:45 (CET/CEST),29120,3
01.01.2024 06:45 - 01.01.2024 07:00 (CET/CEST),29239,4
01.01.2024 07:00 - 01.01.2024 07:15 (CET/CEST),29427,3
01.01.2024 07:15 - 01.01.2024 07:30 (CET/CEST),29701,4
01.01.2024 07:30 - 01.01.2024 07:45 (CET/CEST),30019,4
01.01.2024 07:45 - 01.01.2024 08:00 (CET/CEST),30254,5
01.01.2024 08:00 - 01.01.2024 08:15 (CET/CEST),30493,10
01.01.2024 08:15 - 01.01.2024 08:30 (CET/CEST),30395,87
01.01.2024 08:30 - 01.01.2024 08:45 (CET/CEST),30509,492
01.01.2024 08:45 - 01.01.2024 09:00 (CET/CEST),30723,1112
01.01.2024 09:00 - 01.01.2024 09:15 (CET/CEST),30660,1936
01.01.2024 09:15 - 01.01.2024 09:30 (CET/CEST),30697,2835
01.01.2024 09:30 - 01.01.2024 09:45 (CET/CEST),30614,3656
01.01.2024 09:45 - 01.01.2024 10:00 (CET/CEST),30520,4458
01.01.2024 10:00 - 01.01.2024 10:15 (CET/CEST),30614,5308
01.01.2024 10:15 - 01.01.2024 10:30 (CET/CEST),30600,6109
01.01.2024 10:30 - 01.01.2024 10:45 (CET/CEST),30610,6753
01.01.2024 10:45 - 01.01.2024 11:00 (CET/CEST),30143,7246
01.01.2024 11:00 - 01.01.2024 11:15 (CET/CEST),30180,7794
01.01.2024 11:15 - 01.01.2024 11:30 (CET/CEST),30303,8202
01.01.2024 11:30 - 01.01.2024 11:45 (CET/CEST),30461,8364
01.01.2024 11:45 - 01.01.2024 12:00 (CET/CEST),30805,8287
01.01.2024 12:00 - 01.01.2024 12:15 (CET/CEST),30603,8146
01.01.2024 12:15 - 01.01.2024 12:30 (CET/CEST),30525,8039
01.01.2024 12:30 - 01.01.2024 12:45 (CET/CEST),30646,7710
01.01.2024 12:45 - 01.01.2024 13:00 (CET/CEST),30451,7332
01.01.2024 13:00 - 01.01.2024 13:15 (CET/CEST),30102,6996
01.01.2024 13:15 - 01.01.2024 13:30 (CET/CEST),29888,6637
01.01.2024 13:30 - 01.01.2024 13:45 (CET/CEST),29817,6217
01.01.2024 13:45 - 01.01.2024 14:00 (CET/CEST),29863,5710
01.01.2024 14:00 - 01.01.2024 14:15 (CET/CEST),29017,5258
01.01.2024 14:15 - 01.01.2024 14:30 (CET/CEST),28784,4605
01.01.2024 14:30 - 01.01.2024 14:45 (CET/CEST),28544,3876
01.01.2024 14:45 - 01.01.2024 15:00 (CET/CEST),28261,3128
01.01.2024 15:00 - 01.01.2024 15:15 (CET/CEST),28039,2387
01.01.2024 15:15 - 01.01.2024 15:30 (CET/CEST),27755,1689
01.01.2024 15:30 - 01.01.2024 15:45 (CET/CEST),27404,1058
01.01.2024 15:45 - 01.01.2024 16:00 (CET/CEST),27066,583
01.01.2024 16:00 - 01.01.2024 16:15 (CET/CEST),27255,249
01.01.2024 16:15 - 01.01.2024 16:30 (CET/CEST),27409,67
01.01.2024 16:30 - 01.01.2024 16:45 (CET/CEST),27509,14
01.01.2024 16:45 - 01.01.2024 17:00 (CET/CEST),27825,8
01.01.2024 17:00 - 01.01.2024 17:15 (CET/CEST),28176,4
01.01.2024 17:15 - 01.01.2024 17:30 (CET/CEST),28119,4
01.01.2024 17:30 - 01.01.2024 17:45 (CET/CEST),28150,8
01.01.2024 17:45 - 01.01.2024 18:00 (CET/CEST),27969,7
01.01.2024 18:00 - 01.01.2024 18:15 (CET/CEST),27648,7
01.01.2024 18:15 - 01.01.2024 18:30 (CET/CEST),27286,7
01.01.2024 18:30 - 01.01.2024 18:45 (CET/CEST),26863,4
01.01.2024 18:45 - 01.01.2024 19:00 (CET/CEST),26756,3
01.01.2024 19:00 - 01.01.2024 19:15 (CET/CEST),26635,6
01.01.2024 19:15 - 01.01.2024 19:30 (CET/CEST),26546,6
01.01.2024 19:30 - 01.01.2024 19:45 (CET/CEST),26543,3
01.01.2024 19:45 - 01.01.2024 20:00 (CET/CEST),26323,3
01.01.2024 20:00 - 01.01.2024 20:15 (CET/CEST),26078,4
01.01.2024 20:15 - 01.01.2024 20:30 (CET/CEST),25625,3
01.01.2024 20:30 - 01.01.2024 20:45 (CET/CEST),25516,3
01.01.2024 20:45 - 01.01.2024 21:00 (CET/CEST),25283,3
01.01.2024 21:00 - 01.01.2024 21:15 (CET/CEST),24868,3
01.01.2024 21:15 - 01.01.2024 21:30 (CET/CEST),24635,3
01.01.2024 21:30 - 01.01.2024 21:45 (CET/CEST),24389,3
01.01.2024 21:45 - 01.01.2024 22:00 (CET/CEST),24165,3
01.01.2024 22:00 - 01.01.2024 22:15 (CET/CEST),23530,3
01.01.2024 22:15 - 01.01.2024 22:30 (CET/CEST),23356,2
01.01.2024 22:30 - 01.01.2024 22:45 (CET/CEST),22927,3
01.01.2024 22:45 - 01.01.2024 23:00 (CET/CEST),22636,3
01.01.2024 23:00 - 01.01.2024 23:15 (CET/CEST),22350,3
01.01.2024 23:15 - 01.01.2024 23:30 (CET/CEST),22039,3
01.01.2024 23:30 - 01.01.2024 23:45 (CET/CEST),22021,3
01.01.2024 23:45 - 02.01.2024 00:00 (CET/CEST),21714,3
02.01.2024 00:00 - 02.01.2024 00:15 (CET/CEST),21344,3
02.01.2024 00:15 - 02.01.2024 00:30 (CET/CEST),21147,4
02.01.2024 00:30 - 02.01.2024 00:45 (CET/CEST),20949,3
02.01.2024 00:45 - 02.01.2024 01:00 (CET/CEST),20622,3
02.01.2024 01:00 - 02.01.2024 01:15 (CET/CEST),20433,3
02.01.2024 01:15 - 02.01.2024 01:30 (CET/CEST),20255,3
02.01.2024 01:30 - 02.01.2024 01:45 (CET/CEST),19951,3
02.01.2024 01:45 - 02.01.2024 02:00 (CET/CEST),19729,3
02.01.2024 02:00 - 02.01.2024 02:15 (CET/CEST),19783,3
02.01.2024 02:15 - 02.01.2024 02:30 (CET/CEST),19866,3
02.01.2024 02:30 - 02.01.2024 02:45 (CET/CEST),20051,3
02.01.2024 02:45 - 02.01.2024 03:00 (CET/CEST),20293,4
02.01.2024 03:00 - 02.01.2024 03:15 (CET/CEST),20690,4
02.01.2024 03:15 - 02.01.2024 03:30 (CET/CEST),21114,4
02.01.2024 03:30 - 02.01.2024 03:45 (CET/CEST),21368,3
02.01.2024 03:45 - 02.01.2024 04:00 (CET/CEST),21576,3
02.01.2024 04:00 - 02.01.2024 04:15 (CET/CEST),22076,3
02.01.2024 04:15 - 02.01.2024 04:30 (CET/CEST),22675,3
02.01.2024 04:30 - 02.01.2024 04:45 (CET/CEST),23132,3
02.01.2024 04:45 - 02.01.2024 05:00 (CET/CEST),23554,3
02.01.2024 05:00 - 02.01.2024 05:15 (CET/CEST),24275,3
02.01.2024 05:15 - 02.01.2024 05:30 (CET/CEST),24999,3
02.01.2024 05:30 - 02.01.2024 05:45 (CET/CEST),25817,3
02.01.2024 05:45 - 02.01.2024 06:00 (CET/CEST),26361,4
02.01.2024 06:00 - 02.01.2024 06:15 (CET/CEST),27605,3
02.01.2024 06:15 - 02.01.2024 06:30 (CET/CEST),28101,3
02.01.2024 06:30 - 02.01.2024 06:45 (CET/CEST),28605,4
02.01.2024 06:45 - 02.01.2024 07:00 (CET/CEST),29073,4
02.01.2024 07:00 - 02.01.2024 07:15 (CET/CEST),29494,3
02.01.2024 07:15 - 02.01.2024 07:30 (CET/CEST),29866,3
02.01.2024 07:30 - 02.01.2024 07:45 (CET/CEST),30274,3
02.01.2024 07:45 - 02.01.2024 08:00 (CET/CEST),30539,3
02.01.2024 08:00 - 02.01.2024 08:15 (CET/CEST),30831,4
02.01.2024 08:15 - 02.01.2024 08:30 (CET/CEST),31009,12
02.01.2024 08:30 - 02.01.2024 08:45 (CET/CEST),31222,54
02.01.2024 08:45 - 02.01.2024 09:00 (CET/CEST),31160,133
02.01.2024 09:00 - 02.01.2024 09:15 (CET/CEST),30883,247
02.01.2024 09:15 - 02.01.2024 09:30 (CET/CEST),30752,427
02.01.2024 09:30 - 02.01.2024 09:45 (CET/CEST),30740,631
02.01.2024 09:45 - 02.01.2024 10:00 (CET/CEST),30945,853
02.01.2024 10:00 - 02.01.2024 10:15 (CET/CEST),31036,1072
02.01.2024 10:15 - 02.01.2024 10:30 (CET/CEST),30839,1287
02.01.2024 10:30 - 02.01.2024 10:45 (CET/CEST),30574,1503
02.01.2024 10:45 - 02.01.2024 11:00 (CET/CEST),30200,1719
02.01.2024 11:00 - 02.01.2024 11:15 (CET/CEST),29807,1916
02.01.2024 11:15 - 02.01.2024 11:30 (CET/CEST),29383,2104
02.01.2024 11:30 - 02.01.2024 11:45 (CET/CEST),28971,2243
02.01.2024 11:45 - 02.01.2024 12:00 (CET/CEST),28579,2373
02.01.2024 12:00 - 02.01.2024 12:15 (CET/CEST),28204,2525
02.01.2024 12:15 - 02.01.2024 12:30 (CET/CEST),28125,2622
02.01.2024 12:30 - 02.01.2024 12:45 (CET/CEST),28127,2683
02.01.2024 12:45 - 02.01.2024 13:00 (CET/CEST),27943,2693
02.01.2024 13:00 - 02.01.2024 13:15 (CET/CEST),27724,2592
02.01.2024 13:15 - 02.01.2024 13:30 (CET/CEST),27686,2456
02.01.2024 13:30 - 02.01.2024 13:45 (CET/CEST),27576,2237
02.01.2024 13:45 - 02.01.2024 14:00 (CET/CEST),27510,1958
02.01.2024 14:00 - 02.01.2024 14:15 (CET/CEST),27343,1636
02.01.2024 14:15 - 02.01.2024 14:30 (CET/CEST),27096,1342
02.01.2024 14:30 - 02.01.2024 14:45 (CET/CEST),26939,1099
02.01.2024 14:45 - 02.01.2024 15:00 (CET/CEST),26982,865
02.01.2024 15:00 - 02.01.2024 15:15 (CET/CEST),27070,629
02.01.2024 15:15 - 02.01.2024 15:30 (CET/CEST),27093,415
02.01.2024 15:30 - 02.01.2024 15:45 (CET/CEST),27408,234
02.01.2024 15:45 - 02.01.2024 16:00 (CET/CEST),27847,101
02.01.2024 16:00 - 02.01.2024 16:15 (CET/CEST),28253,29
02.01.2024 16:15 - 02.01.2024 16:30 (CET/CEST),28661,8
02.01.2024 16:30 - 02.01.2024 16:45 (CET/CEST),29162,7
02.01.2024 16:45 - 02.01.2024 17:00 (CET/CEST),29656,7
02.01.2024 17:00 - 02.01.2024 17:15 (CET/CEST),30202,5
02.01.2024 17:15 - 02.01.2024 17:30 (CET/CEST),30641,4
02.01.2024 17:30 - 02.01.2024 17:45 (CET/CEST),31151,4
02.01.2024 17:45 - 02.01.2024 18:00 (CET/CEST),31580,3
02.01.2024 18:00 - 02.01.2024 18:15 (CET/CEST),31972,6
02.01.2024 18:15 - 02.01.2024 18:30 (CET/CEST),32343,3
02.01.2024 18:30 - 02.01.2024 18:45 (CET/CEST),32881,3
02.01.2024 18:45 - 02.01.2024 19:00 (CET/CEST),33586,3
02.01.2024 19:00 - 02.01.2024 19:15 (CET/CEST),34218,4
02.01.2024 19:15 - 02.01.2024 19:30 (CET/CEST),34672,3
02.01.2024 19:30 - 02.01.2024 19:45 (CET/CEST),35045,3
02.01.2024 19:45 - 02.01.2024 20:00 (CET/CEST),35328,3
02.01.2024 20:00 - 02.01.2024 20:15 (CET/CEST),35665,3
02.01.2024 20:15 - 02.01.2024 20:30 (CET/CEST),36161,3
02.01.2024 20:30 - 02.01.2024 20:45 (CET/CEST),36380,2
02.01.2024 20:45 - 02.01.2024 21:00 (CET/CEST),36701,2
02.01.2024 21:00 - 02.01.2024 21:15 (CET/CEST),37101,3
02.01.2024 21:15 - 02.01.2024 21:30 (CET/CEST),37411,3
02.01.2024 21:30 - 02.01.2024 21:45 (CET/CEST),37530,3
02.01.2024 21:45 - 02.01.2024 22:00 (CET/CEST),37655,3
02.01.2024 22:00 - 02.01.2024 22:15 (CET/CEST),36904,3
02.01.2024 22:15 - 02.01.2024 22:30 (CET/CEST),37193,3
02.01.2024 22:30 - 02.01.2024 22:45 (CET/CEST),37611,5
02.01.2024 22:45 - 02.01.2024 23:00 (CET/CEST),37717,3
02.01.2024 23:00 - 02.01.2024 23:15 (CET/CEST),37762,3
02.01.2024 23:15 - 02.01.2024 23:30 (CET/CEST),37924,3
02.01.2024 23:30 - 02.01.2024 23:45 (CET/CEST),38007,3
02.01.2024 23:45 - 03.01.2024 00:00 (CET/CEST),37702,3
03.01.2024 00:00 - 03.01.2024 00:15 (CET/CEST),36789,3
03.01.2024 00:15 - 03.01.2024 00:30 (CET/CEST),36716,3
03.01.2024 00:30 - 03.01.2024 00:45 (CET/CEST),36909,3
03.01.2024 00:45 - 03.01.2024 01:00 (CET/CEST),37010,3
03.01.2024 01:00 - 03.01.2024 01:15 (CET/CEST),37171,3
03.01.2024 01:15 - 03.01.2024 01:30 (CET/CEST),37243,3
03.01.2024 01:30 - 03.01.2024 01:45 (CET/CEST),37049,3
03.01.2024 01:45 - 03.01.2024 02:00 (CET/CEST),36742,3
03.01.2024 02:00 - 03.01.2024 02:15 (CET/CEST),37004,3
03.01.2024 02:15 - 03.01.2024 02:30 (CET/CEST),37368,3
03.01.2024 02:30 - 03.01.2024 02:45 (CET/CEST),37674,3
03.01.2024 02:45 - 03.01.2024 03:00 (CET/CEST),37892,3
