DateTime,Wind,Solar
01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST),14137,0
01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST),11777,0
01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST),11437,0
01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST),11087,0
01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST),10718,0
01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST),10130,0
01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST),9717,0
01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST),9697,0
01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST),9141,271
01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST),10077,867
01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST),9694,1962
01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST),9151,2858
01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST),8050,3349
01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST),7484,3131
01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST),7309,2394
01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST),7442,1460
01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST),8058,548
01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST),9553,206
01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST),11352,189
01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST),12274,0
01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST),12555,0
01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST),12303,0
01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST),11955,0
01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST),11448,0
02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST),10994,0
02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST),10402,0
02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST),9985,0
02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST),9358,0
02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST),8449,0
02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST),7235,0
02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST),6562,0
02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST),6209,0
02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST),5625,246
02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST),5320,555
02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST),4972,1302
02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST),4890,2033
02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST),5185,2589
02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST),5635,2735
02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST),5677,2199
02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST),5306,1341
02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST),4677,535
02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST),4244,204
02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST),4206,182
02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST),4417,0
02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST),4312,0
02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST),4116,0
02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST),3937,0
02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST),3902,0
03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST),3838,0
03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST),4094,0
03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST),4244,0
03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST),4397,0
03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST),4499,0
03.01.2023 05:00 - 03.01.2023 06:00 (CET/CEST),4459,0
03.01.2023 06:00 - 03.01.2023 07:00 (CET/CEST),4584,0
03.01.2023 07:00 - 03.01.2023 08:00 (CET/CEST),4893,0
03.01.2023 08:00 - 03.01.2023 09:00 (CET/CEST),5167,257
03.01.2023 09:00 - 03.01.2023 10:00 (CET/CEST),5129,785
03.01.2023 10:00 - 03.01.2023 11:00 (CET/CEST),5111,2089
03.01.2023 11:00 - 03.01.2023 12:00 (CET/CEST),5177,3502
03.01.2023 12:00 - 03.01.2023 13:00 (CET/CEST),5571,4158
03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST),6035,4096
03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST),6636,3356
03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST),7084,2199
03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST),7504,858
03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST),8122,224
03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST),9191,194
03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST),10344,0
03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST),11138,0
03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST),11696,0
03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST),11803,0
03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST),12100,0
04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST),12424,0
04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST),12758,0
04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST),12900,0
04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST),12889,0
04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST),13068,0
04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST),13071,0
04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST),13133,0
04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST),13579,0
04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST),13632,312
04.01.2023 09:00 - 04.01.2023 10:00 (CET/CEST),13637,1075
04.01.2023 10:00 - 04.01.2023 11:00 (CET/CEST),13613,2606
04.01.2023 11:00 - 04.01.2023 12:00 (CET/CEST),13537,3781
04.01.2023 12:00 - 04.01.2023 13:00 (CET/CEST),13520,4104
04.01.2023 13:00 - 04.01.2023 14:00 (CET/CEST),13559,4055
04.01.2023 14:00 - 04.01.2023 15:00 (CET/CEST),13544,3339
04.01.2023 15:00 - 04.01.2023 16:00 (CET/CEST),13502,2066
04.01.2023 16:00 - 04.01.2023 17:00 (CET/CEST),13302,790
04.01.2023 17:00 - 04.01.2023 18:00 (CET/CEST),13004,230
04.01.2023 18:00 - 04.01.2023 19:00 (CET/CEST),12637,196
04.01.2023 19:00 - 04.01.2023 20:00 (CET/CEST),12158,0
04.01.2023 20:00 - 04.01.2023 21:00 (CET/CEST),12064,0
04.01.2023 21:00 - 04.01.2023 22:00 (CET/CEST),12329,0
04.01.2023 22:00 - 04.01.2023 23:00 (CET/CEST),11946,0
04.01.2023 23:00 - 05.01.2023 00:00 (CET/CEST),11520,0
05.01.2023 00:00 - 05.01.2023 01:00 (CET/CEST),11065,0
05.01.2023 01:00 - 05.01.2023 02:00 (CET/CEST),10443,0
05.01.2023 02:00 - 05.01.2023 03:00 (CET/CEST),9841,0
05.01.2023 03:00 - 05.01.2023 04:00 (CET/CEST),9182,0
05.01.2023 04:00 - 05.01.2023 05:00 (CET/CEST),8608,0
05.01.2023 05:00 - 05.01.2023 06:00 (CET/CEST),7867,0
05.01.2023 06:00 - 05.01.2023 07:00 (CET/CEST),7162,0
05.01.2023 07:00 - 05.01.2023 08:00 (CET/CEST),6608,0
05.01.2023 08:00 - 05.01.2023 09:00 (CET/CEST),5728,298
05.01.2023 09:00 - 05.01.2023 10:00 (CET/CEST),4758,1033
05.01.2023 10:00 - 05.01.2023 11:00 (CET/CEST),4220,2403
05.01.2023 11:00 - 05.01.2023 12:00 (CET/CEST),4192,3456
05.01.2023 12:00 - 05.01.2023 13:00 (CET/CEST),4500,3917
05.01.2023 13:00 - 05.01.2023 14:00 (CET/CEST),4823,3850
05.01.2023 14:00 - 05.01.2023 15:00 (CET/CEST),4750,3303
