Date,EUA,TTF,SPRD GER,SPRD FR,SPRD IR
2019-04-28,27.4,14.73,17.98,15.07,28.19
2019-04-29,27.55,14.8,22.53,22.53,34.54
2019-04-30,27.43,14.76,25.56,25.56,24.53
2019-05-01,26.89,14.35,40.07,30.63,31.01
2019-05-02,25.79,14.17,21.47,20.21,26.06
2019-05-03,26.29,14.43,17.62,17.62,25.42
2019-05-04,26.33,14.54,12.19,17.33,35.94
2019-05-05,26.38,14.54,25.61,27.89,19.18
2019-05-06,26.42,14.54,18.56,17.76,15.47
2019-05-07,27.47,14.53,22.81,22.81,35.32
2019-05-08,27.99,14.52,14.36,12.24,31.83
2019-05-09,27.57,14.36,24.4,24.4,24.56
2019-05-10,26.62,14.65,19.0,19.0,44.14
2019-05-11,26.42,14.27,6.17,16.35,27.91
2019-05-12,26.23,14.27,64.88,54.98,16.03
2019-05-13,26.03,14.32,17.98,18.6,31.61
2019-05-14,26.87,13.88,20.57,20.57,31.35
2019-05-15,26.96,13.74,20.69,20.69,27.82
2019-05-16,26.56,13.81,17.23,17.23,22.69
2019-05-17,25.96,13.66,17.34,17.33,29.51
2019-05-18,26.03,13.03,12.81,12.81,26.14
2019-05-19,26.09,13.03,14.93,14.93,19.38
2019-05-20,26.16,13.11,29.45,23.94,23.82
2019-05-21,26.35,13.04,26.12,26.12,33.0
2019-05-22,27.34,12.7,21.35,21.35,90.83
2019-05-23,27.03,12.83,19.63,19.65,81.32
2019-05-24,26.44,12.45,16.16,25.26,85.25
2019-05-25,26.5,12.22,13.36,13.36,23.35
2019-05-26,26.55,12.22,51.11,44.46,20.77
2019-05-27,26.61,12.22,34.25,15.63,19.61
2019-05-28,26.46,12.3,31.45,18.47,20.16
2019-05-29,26.51,12.37,20.3,22.92,26.71
2019-05-30,26.28,12.2,40.31,33.31,24.39
2019-05-31,25.45,11.5,19.09,15.21,25.54
2019-06-01,25.21,10.21,23.47,19.3,24.05
2019-06-02,24.98,10.21,47.15,47.15,19.47
2019-06-03,24.74,10.35,25.38,30.51,23.42
2019-06-04,25.58,10.16,24.22,23.2,47.98
2019-06-05,25.28,10.55,20.45,20.39,22.24
