DateTime,Wind,Solar
01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST),1082,0
01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST),1075,0
01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST),1086,0
01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST),1149,0
01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST),1170,0
01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST),1190,0
01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST),1261,0
01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST),1275,0
01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST),1323,179
01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST),1294,505
01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST),1237,1347
01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST),1156,2019
01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST),1054,2407
01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST),1036,2335
01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST),1136,1907
01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST),1226,1152
01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST),1299,437
01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST),1434,166
01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST),1608,0
01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST),1645,0
01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST),1632,0
01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST),1570,0
01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST),1502,0
01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST),1486,0
02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST),1485,0
02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST),1505,0
02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST),1527,0
02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST),1560,0
02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST),1647,0
02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST),1767,0
02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST),1800,0
02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST),1888,0
02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST),1924,177
02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST),1865,362
02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST),1839,856
02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST),1820,1431
02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST),1851,1740
02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST),1905,1734
02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST),1969,1482
02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST),1988,978
02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST),1944,412
02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST),1938,177
02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST),2018,0
02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST),1965,0
02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST),1874,0
02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST),1840,0
02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST),1759,0
02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST),1753,0
03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST),1706,0
03.01.2021 01:00 - 03.01.2021 02:00 (CET/CEST),1739,0
03.01.2021 02:00 - 03.01.2021 03:00 (CET/CEST),1747,0
03.01.2021 03:00 - 03.01.2021 04:00 (CET/CEST),1766,0
03.01.2021 04:00 - 03.01.2021 05:00 (CET/CEST),1734,0
03.01.2021 05:00 - 03.01.2021 06:00 (CET/CEST),1691,0
03.01.2021 06:00 - 03.01.2021 07:00 (CET/CEST),1683,0
03.01.2021 07:00 - 03.01.2021 08:00 (CET/CEST),1698,0
03.01.2021 08:00 - 03.01.2021 09:00 (CET/CEST),1696,190
03.01.2021 09:00 - 03.01.2021 10:00 (CET/CEST),1702,527
03.01.2021 10:00 - 03.01.2021 11:00 (CET/CEST),1663,1339
03.01.2021 11:00 - 03.01.2021 12:00 (CET/CEST),1552,2177
03.01.2021 12:00 - 03.01.2021 13:00 (CET/CEST),1529,2571
03.01.2021 13:00 - 03.01.2021 14:00 (CET/CEST),1580,2442
03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST),1708,1928
03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST),1830,1220
03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST),1924,455
03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST),1993,169
03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST),2055,0
03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST),2130,0
03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST),2183,0
03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST),2227,0
03.01.2021 22:00 - 03.01.2021 23:00 (CET/CEST),2187,0
03.01.2021 23:00 - 04.01.2021 00:00 (CET/CEST),2109,0
04.01.2021 00:00 - 04.01.2021 01:00 (CET/CEST),2031,0
04.01.2021 01:00 - 04.01.2021 02:00 (CET/CEST),1998,0
04.01.2021 02:00 - 04.01.2021 03:00 (CET/CEST),2004,0
04.01.2021 03:00 - 04.01.2021 04:00 (CET/CEST),1836,0
04.01.2021 04:00 - 04.01.2021 05:00 (CET/CEST),1686,0
04.01.2021 05:00 - 04.01.2021 06:00 (CET/CEST),1616,0
04.01.2021 06:00 - 04.01.2021 07:00 (CET/CEST),1621,0
04.01.2021 07:00 - 04.01.2021 08:00 (CET/CEST),1627,0
04.01.2021 08:00 - 04.01.2021 09:00 (CET/CEST),1712,199
04.01.2021 09:00 - 04.01.2021 10:00 (CET/CEST),1694,450
04.01.2021 10:00 - 04.01.2021 11:00 (CET/CEST),1601,1024
04.01.2021 11:00 - 04.01.2021 12:00 (CET/CEST),1659,1631
04.01.2021 12:00 - 04.01.2021 13:00 (CET/CEST),1667,1884
04.01.2021 13:00 - 04.01.2021 14:00 (CET/CEST),1735,1778
04.01.2021 14:00 - 04.01.2021 15:00 (CET/CEST),1888,1529
04.01.2021 15:00 - 04.01.2021 16:00 (CET/CEST),2170,998
04.01.2021 16:00 - 04.01.2021 17:00 (CET/CEST),2428,441
04.01.2021 17:00 - 04.01.2021 18:00 (CET/CEST),2478,180
04.01.2021 18:00 - 04.01.2021 19:00 (CET/CEST),2596,0
04.01.2021 19:00 - 04.01.2021 20:00 (CET/CEST),2790,0
04.01.2021 20:00 - 04.01.2021 21:00 (CET/CEST),2922,0
04.01.2021 21:00 - 04.01.2021 22:00 (CET/CEST),2906,0
04.01.2021 22:00 - 04.01.2021 23:00 (CET/CEST),2786,0
04.01.2021 23:00 - 05.01.2021 00:00 (CET/CEST),2757,0
05.01.2021 00:00 - 05.01.2021 01:00 (CET/CEST),2570,0
05.01.2021 01:00 - 05.01.2021 02:00 (CET/CEST),2431,0
05.01.2021 02:00 - 05.01.2021 03:00 (CET/CEST),2309,0
05.01.2021 03:00 - 05.01.2021 04:00 (CET/CEST),2211,0
05.01.2021 04:00 - 05.01.2021 05:00 (CET/CEST),2074,0
05.01.2021 05:00 - 05.01.2021 06:00 (CET/CEST),2000,0
05.01.2021 06:00 - 05.01.2021 07:00 (CET/CEST),1984,0
05.01.2021 07:00 - 05.01.2021 08:00 (CET/CEST),1984,0
05.01.2021 08:00 - 05.01.2021 09:00 (CET/CEST),2029,198
05.01.2021 09:00 - 05.01.2021 10:00 (CET/CEST),2011,421
05.01.2021 10:00 - 05.01.2021 11:00 (CET/CEST),1832,922
05.01.2021 11:00 - 05.01.2021 12:00 (CET/CEST),1676,1342
05.01.2021 12:00 - 05.01.2021 13:00 (CET/CEST),1601,1623
05.01.2021 13:00 - 05.01.2021 14:00 (CET/CEST),1725,1609
05.01.2021 14:00 - 05.01.2021 15:00 (CET/CEST),1892,1276
05.01.2021 15:00 - 05.01.2021 16:00 (CET/CEST),2131,807
05.01.2021 16:00 - 05.01.2021 17:00 (CET/CEST),2144,342
05.01.2021 17:00 - 05.01.2021 18:00 (CET/CEST),2056,158
05.01.2021 18:00 - 05.01.2021 19:00 (CET/CEST),2005,0
05.01.2021 19:00 - 05.01.2021 20:00 (CET/CEST),1866,0
