DateTime,Wind,Solar
01.01.2022 00:00 - 01.01.2022 00:15 (CET/CEST),25816,2
01.01.2022 00:15 - 01.01.2022 00:30 (CET/CEST),25772,2
01.01.2022 00:30 - 01.01.2022 00:45 (CET/CEST),25389,2
01.01.2022 00:45 - 01.01.2022 01:00 (CET/CEST),25434,2
01.01.2022 01:00 - 01.01.2022 01:15 (CET/CEST),24893,2
01.01.2022 01:15 - 01.01.2022 01:30 (CET/CEST),24654,2
01.01.2022 01:30 - 01.01.2022 01:45 (CET/CEST),24266,2
01.01.2022 01:45 - 01.01.2022 02:00 (CET/CEST),23578,2
01.01.2022 02:00 - 01.01.2022 02:15 (CET/CEST),23602,2
01.01.2022 02:15 - 01.01.2022 02:30 (CET/CEST),23205,2
01.01.2022 02:30 - 01.01.2022 02:45 (CET/CEST),22973,2
01.01.2022 02:45 - 01.01.2022 03:00 (CET/CEST),22975,2
01.01.2022 03:00 - 01.01.2022 03:15 (CET/CEST),22647,2
01.01.2022 03:15 - 01.01.2022 03:30 (CET/CEST),22386,2
01.01.2022 03:30 - 01.01.2022 03:45 (CET/CEST),21836,2
01.01.2022 03:45 - 01.01.2022 04:00 (CET/CEST),21585,2
01.01.2022 04:00 - 01.01.2022 04:15 (CET/CEST),20941,2
01.01.2022 04:15 - 01.01.2022 04:30 (CET/CEST),20953,2
01.01.2022 04:30 - 01.01.2022 04:45 (CET/CEST),20316,2
01.01.2022 04:45 - 01.01.2022 05:00 (CET/CEST),20273,2
01.01.2022 05:00 - 01.01.2022 05:15 (CET/CEST),19880,2
01.01.2022 05:15 - 01.01.2022 05:30 (CET/CEST),19628,2
01.01.2022 05:30 - 01.01.2022 05:45 (CET/CEST),19433,2
01.01.2022 05:45 - 01.01.2022 06:00 (CET/CEST),19410,2
01.01.2022 06:00 - 01.01.2022 06:15 (CET/CEST),19667,2
01.01.2022 06:15 - 01.01.2022 06:30 (CET/CEST),19400,2
01.01.2022 06:30 - 01.01.2022 06:45 (CET/CEST),19238,2
01.01.2022 06:45 - 01.01.2022 07:00 (CET/CEST),18866,2
01.01.2022 07:00 - 01.01.2022 07:15 (CET/CEST),18540,2
01.01.2022 07:15 - 01.01.2022 07:30 (CET/CEST),18099,2
01.01.2022 07:30 - 01.01.2022 07:45 (CET/CEST),17812,2
01.01.2022 07:45 - 01.01.2022 08:00 (CET/CEST),17783,2
01.01.2022 08:00 - 01.01.2022 08:15 (CET/CEST),17156,5
01.01.2022 08:15 - 01.01.2022 08:30 (CET/CEST),16810,53
01.01.2022 08:30 - 01.01.2022 08:45 (CET/CEST),16543,257
01.01.2022 08:45 - 01.01.2022 09:00 (CET/CEST),16285,583
01.01.2022 09:00 - 01.01.2022 09:15 (CET/CEST),16154,1027
01.01.2022 09:15 - 01.01.2022 09:30 (CET/CEST),15947,1560
01.01.2022 09:30 - 01.01.2022 09:45 (CET/CEST),15474,2059
01.01.2022 09:45 - 01.01.2022 10:00 (CET/CEST),15314,2587
01.01.2022 10:00 - 01.01.2022 10:15 (CET/CEST),14828,3165
01.01.2022 10:15 - 01.01.2022 10:30 (CET/CEST),14227,3803
01.01.2022 10:30 - 01.01.2022 10:45 (CET/CEST),13751,4452
01.01.2022 10:45 - 01.01.2022 11:00 (CET/CEST),13316,5087
01.01.2022 11:00 - 01.01.2022 11:15 (CET/CEST),12686,5631
01.01.2022 11:15 - 01.01.2022 11:30 (CET/CEST),12401,6186
01.01.2022 11:30 - 01.01.2022 11:45 (CET/CEST),11745,6641
01.01.2022 11:45 - 01.01.2022 12:00 (CET/CEST),10962,7029
01.01.2022 12:00 - 01.01.2022 12:15 (CET/CEST),10992,7304
01.01.2022 12:15 - 01.01.2022 12:30 (CET/CEST),10743,7532
01.01.2022 12:30 - 01.01.2022 12:45 (CET/CEST),10101,7594
01.01.2022 12:45 - 01.01.2022 13:00 (CET/CEST),9776,7414
01.01.2022 13:00 - 01.01.2022 13:15 (CET/CEST),9466,7176
01.01.2022 13:15 - 01.01.2022 13:30 (CET/CEST),9157,6883
01.01.2022 13:30 - 01.01.2022 13:45 (CET/CEST),8847,6457
01.01.2022 13:45 - 01.01.2022 14:00 (CET/CEST),8573,5894
01.01.2022 14:00 - 01.01.2022 14:15 (CET/CEST),8565,5298
01.01.2022 14:15 - 01.01.2022 14:30 (CET/CEST),8372,4755
01.01.2022 14:30 - 01.01.2022 14:45 (CET/CEST),8321,4135
01.01.2022 14:45 - 01.01.2022 15:00 (CET/CEST),8359,3440
01.01.2022 15:00 - 01.01.2022 15:15 (CET/CEST),8522,2681
01.01.2022 15:15 - 01.01.2022 15:30 (CET/CEST),8597,1951
01.01.2022 15:30 - 01.01.2022 15:45 (CET/CEST),8845,1296
01.01.2022 15:45 - 01.01.2022 16:00 (CET/CEST),9310,780
01.01.2022 16:00 - 01.01.2022 16:15 (CET/CEST),9908,388
01.01.2022 16:15 - 01.01.2022 16:30 (CET/CEST),10436,128
01.01.2022 16:30 - 01.01.2022 16:45 (CET/CEST),10921,19
01.01.2022 16:45 - 01.01.2022 17:00 (CET/CEST),11486,4
01.01.2022 17:00 - 01.01.2022 17:15 (CET/CEST),12085,3
01.01.2022 17:15 - 01.01.2022 17:30 (CET/CEST),12712,3
01.01.2022 17:30 - 01.01.2022 17:45 (CET/CEST),13347,2
01.01.2022 17:45 - 01.01.2022 18:00 (CET/CEST),13848,2
