DateTime,Wind,Solar
01.01.2023 21:15 - 01.01.2023 21:30 (CET/CEST),19771,3
01.01.2023 21:30 - 01.01.2023 21:45 (CET/CEST),19394,2
01.01.2023 21:45 - 01.01.2023 22:00 (CET/CEST),19178,2
01.01.2023 22:00 - 01.01.2023 22:15 (CET/CEST),18881,3
01.01.2023 22:15 - 01.01.2023 22:30 (CET/CEST),18667,2
01.01.2023 22:30 - 01.01.2023 22:45 (CET/CEST),18528,2
01.01.2023 22:45 - 01.01.2023 23:00 (CET/CEST),18385,2
01.01.2023 23:00 - 01.01.2023 23:15 (CET/CEST),18202,3
01.01.2023 23:15 - 01.01.2023 23:30 (CET/CEST),18270,2
01.01.2023 23:30 - 01.01.2023 23:45 (CET/CEST),18407,2
01.01.2023 23:45 - 02.01.2023 00:00 (CET/CEST),18416,2
02.01.2023 00:00 - 02.01.2023 00:15 (CET/CEST),18566,2
02.01.2023 00:15 - 02.01.2023 00:30 (CET/CEST),18781,2
02.01.2023 00:30 - 02.01.2023 00:45 (CET/CEST),18919,2
02.01.2023 00:45 - 02.01.2023 01:00 (CET/CEST),18913,2
02.01.2023 01:00 - 02.01.2023 01:15 (CET/CEST),19146,2
02.01.2023 01:15 - 02.01.2023 01:30 (CET/CEST),19451,2
02.01.2023 01:30 - 02.01.2023 01:45 (CET/CEST),19389,2
02.01.2023 01:45 - 02.01.2023 02:00 (CET/CEST),19302,2
02.01.2023 02:00 - 02.01.2023 02:15 (CET/CEST),20420,3
02.01.2023 02:15 - 02.01.2023 02:30 (CET/CEST),21211,2
02.01.2023 02:30 - 02.01.2023 02:45 (CET/CEST),21475,2
02.01.2023 02:45 - 02.01.2023 03:00 (CET/CEST),21692,2
02.01.2023 03:00 - 02.01.2023 03:15 (CET/CEST),22115,2
02.01.2023 03:15 - 02.01.2023 03:30 (CET/CEST),22633,2
02.01.2023 03:30 - 02.01.2023 03:45 (CET/CEST),23149,2
02.01.2023 03:45 - 02.01.2023 04:00 (CET/CEST),23481,2
02.01.2023 04:00 - 02.01.2023 04:15 (CET/CEST),24240,2
02.01.2023 04:15 - 02.01.2023 04:30 (CET/CEST),24618,2
02.01.2023 04:30 - 02.01.2023 04:45 (CET/CEST),24909,2
02.01.2023 04:45 - 02.01.2023 05:00 (CET/CEST),25500,3
02.01.2023 05:00 - 02.01.2023 05:15 (CET/CEST),25465,2
02.01.2023 05:15 - 02.01.2023 05:30 (CET/CEST),25626,2
02.01.2023 05:30 - 02.01.2023 05:45 (CET/CEST),26045,2
02.01.2023 05:45 - 02.01.2023 06:00 (CET/CEST),26637,2
02.01.2023 06:00 - 02.01.2023 06:15 (CET/CEST),27362,2
02.01.2023 06:15 - 02.01.2023 06:30 (CET/CEST),27862,2
02.01.2023 06:30 - 02.01.2023 06:45 (CET/CEST),27903,2
02.01.2023 06:45 - 02.01.2023 07:00 (CET/CEST),28144,3
02.01.2023 07:00 - 02.01.2023 07:15 (CET/CEST),28591,2
02.01.2023 07:15 - 02.01.2023 07:30 (CET/CEST),28835,2
02.01.2023 07:30 - 02.01.2023 07:45 (CET/CEST),29285,2
02.01.2023 07:45 - 02.01.2023 08:00 (CET/CEST),30110,3
02.01.2023 08:00 - 02.01.2023 08:15 (CET/CEST),30336,10
02.01.2023 08:15 - 02.01.2023 08:30 (CET/CEST),30415,112
02.01.2023 08:30 - 02.01.2023 08:45 (CET/CEST),30732,522
02.01.2023 08:45 - 02.01.2023 09:00 (CET/CEST),30589,1056
02.01.2023 09:00 - 02.01.2023 09:15 (CET/CEST),30840,1700
02.01.2023 09:15 - 02.01.2023 09:30 (CET/CEST),30618,2357
02.01.2023 09:30 - 02.01.2023 09:45 (CET/CEST),30262,3004
02.01.2023 09:45 - 02.01.2023 10:00 (CET/CEST),29830,3672
