DateTime,Wind,Solar
01.01.2019 00:00 - 01.01.2019 00:15 (CET/CEST),19309,0
01.01.2019 00:15 - 01.01.2019 00:30 (CET/CEST),20030,0
01.01.2019 00:30 - 01.01.2019 00:45 (CET/CEST),20785,0
01.01.2019 00:45 - 01.01.2019 01:00 (CET/CEST),21172,0
01.01.2019 01:00 - 01.01.2019 01:15 (CET/CEST),21537,0
01.01.2019 01:15 - 01.01.2019 01:30 (CET/CEST),22063,0
01.01.2019 01:30 - 01.01.2019 01:45 (CET/CEST),22640,0
01.01.2019 01:45 - 01.01.2019 02:00 (CET/CEST),23023,0
01.01.2019 02:00 - 01.01.2019 02:15 (CET/CEST),23066,0
01.01.2019 02:15 - 01.01.2019 02:30 (CET/CEST),23341,0
01.01.2019 02:30 - 01.01.2019 02:45 (CET/CEST),23014,0
01.01.2019 02:45 - 01.01.2019 03:00 (CET/CEST),23353,0
01.01.2019 03:00 - 01.01.2019 03:15 (CET/CEST),24020,0
01.01.2019 03:15 - 01.01.2019 03:30 (CET/CEST),24285,0
01.01.2019 03:30 - 01.01.2019 03:45 (CET/CEST),24737,0
01.01.2019 03:45 - 01.01.2019 04:00 (CET/CEST),24993,0
01.01.2019 04:00 - 01.01.2019 04:15 (CET/CEST),25852,0
01.01.2019 04:15 - 01.01.2019 04:30 (CET/CEST),26212,0
01.01.2019 04:30 - 01.01.2019 04:45 (CET/CEST),26574,0
01.01.2019 04:45 - 01.01.2019 05:00 (CET/CEST),26855,0
01.01.2019 05:00 - 01.01.2019 05:15 (CET/CEST),27609,0
01.01.2019 05:15 - 01.01.2019 05:30 (CET/CEST),27836,0
01.01.2019 05:30 - 01.01.2019 05:45 (CET/CEST),28093,0
01.01.2019 05:45 - 01.01.2019 06:00 (CET/CEST),28187,0
01.01.2019 06:00 - 01.01.2019 06:15 (CET/CEST),29235,0
01.01.2019 06:15 - 01.01.2019 06:30 (CET/CEST),29569,0
01.01.2019 06:30 - 01.01.2019 06:45 (CET/CEST),29945,0
01.01.2019 06:45 - 01.01.2019 07:00 (CET/CEST),30136,0
01.01.2019 07:00 - 01.01.2019 07:15 (CET/CEST),30202,0
01.01.2019 07:15 - 01.01.2019 07:30 (CET/CEST),30406,0
01.01.2019 07:30 - 01.01.2019 07:45 (CET/CEST),30539,0
01.01.2019 07:45 - 01.01.2019 08:00 (CET/CEST),30514,0
