DateTime,Wind,Solar
01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST),3153,0
01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST),3177,0
01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST),3050,0
01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST),3133,0
01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST),3403,0
01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST),3610,0
01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST),3747,0
01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST),4056,0
01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST),4531,244
01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST),4837,962
01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST),4843,2410
01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST),4583,3698
01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST),3890,4270
01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST),3230,4332
01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST),2835,3567
01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST),2577,2174
01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST),3050,801
01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST),3901,244
01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST),4718,0
01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST),4918,0
01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST),4905,0
01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST),5112,0
01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST),4990,0
01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST),5052,0
02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST),5006,0
02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST),5152,0
02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST),5403,0
02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST),5644,0
02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST),6299,0
02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST),7041,0
02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST),7985,0
02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST),8643,0
02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST),8979,263
02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST),9171,623
